09:29:38 2020-02-25, all data deleted by click on website, , ,  
09:30:05 2020-02-25, admin signed in, , ,  
09:30:06 2020-02-25, personalised table created, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:06 2020-02-25, database created from website, , ,  
09:30:06 2020-02-25, admin logged-out, , ,  
09:30:07 2020-02-25, database created, , ,  
09:30:12 2020-02-25, admin signed in, , ,  
09:30:13 2020-02-25, customer id: sx964563 created, , ,  
09:30:13 2020-02-25, admin logged-out, , ,  
09:30:13 2020-02-25, 1 new customers were added to database, , ,  
09:30:29 2020-02-25, admin signed in, , ,  
09:30:31 2020-02-25, consumption added to customer sx16618634, , ,  
09:30:31 2020-02-25, personalised table created, , ,  
09:30:31 2020-02-25, personalised table created, , ,  
09:30:31 2020-02-25, consumption created from website, , ,  
09:30:31 2020-02-25, admin logged-out, , ,  
09:30:32 2020-02-25, new consumption created, , ,  
09:30:32 2020-02-25, JSON detected, , ,  
09:30:32 2020-02-25, xlsx file was created with 2 sheets , , ,  
09:30:32 2020-02-25, server connected, , ,  
09:30:35 2020-02-25, Invoice no. 2020-1000 was created, , invoice2020-1000.pdf, sx16618634 
09:30:35 2020-02-25, Email with invoice no. 2020-1000 sent, , , sx16618634 
09:30:35 2020-02-25, Invoice no. 2020-1001 was created, , invoice2020-1001.pdf, sx964563 
09:30:35 2020-02-25, Email with invoice no. 2020-1001 sent, , , sx964563 
09:30:38 2020-02-25, 2 sheets from xlsx converted to pdfs, , ,  
09:31:02 2020-02-25, printscreen created, , ,  
09:31:08 2020-02-25, admin signed in, , ,  
09:31:09 2020-02-25, customer id: sx315888 created, , ,  
09:31:09 2020-02-25, admin logged-out, , ,  
09:31:09 2020-02-25, 1 new customers were added to database, , ,  
09:31:25 2020-02-25, admin signed in, , ,  
09:31:26 2020-02-25, consumption added to customer sx16618634, , ,  
09:31:26 2020-02-25, consumption added to customer sx964563, , ,  
09:31:26 2020-02-25, personalised table created, , ,  
09:31:26 2020-02-25, personalised table created, , ,  
09:31:26 2020-02-25, consumption created from website, , ,  
09:31:26 2020-02-25, admin logged-out, , ,  
09:31:27 2020-02-25, new consumption created, , ,  
09:31:27 2020-02-25, JSON detected, , ,  
09:31:27 2020-02-25, xlsx file was created with 3 sheets , , ,  
09:31:27 2020-02-25, server connected, , ,  
09:31:30 2020-02-25, Invoice no. 2020-1002 was created, , invoice2020-1002.pdf, sx16618634 
09:31:30 2020-02-25, Email with invoice no. 2020-1002 sent, , , sx16618634 
09:31:31 2020-02-25, Invoice no. 2020-1003 was created, , invoice2020-1003.pdf, sx964563 
09:31:31 2020-02-25, Email with invoice no. 2020-1003 sent, , , sx964563 
09:31:31 2020-02-25, Invoice no. 2020-1004 was created, , invoice2020-1004.pdf, sx315888 
09:31:31 2020-02-25, Email with invoice no. 2020-1004 sent, , , sx315888 
09:31:37 2020-02-25, 3 sheets from xlsx converted to pdfs, , ,  
09:32:00 2020-02-25, printscreen created, , ,  
09:32:06 2020-02-25, admin signed in, , ,  
09:32:07 2020-02-25, customer id: sx439996 created, , ,  
09:32:07 2020-02-25, admin logged-out, , ,  
09:32:07 2020-02-25, 1 new customers were added to database, , ,  
09:32:23 2020-02-25, admin signed in, , ,  
09:32:24 2020-02-25, consumption added to customer sx16618634, , ,  
09:32:24 2020-02-25, consumption added to customer sx964563, , ,  
09:32:24 2020-02-25, consumption added to customer sx315888, , ,  
09:32:24 2020-02-25, personalised table created, , ,  
09:32:24 2020-02-25, personalised table created, , ,  
09:32:24 2020-02-25, consumption created from website, , ,  
09:32:24 2020-02-25, admin logged-out, , ,  
09:32:25 2020-02-25, new consumption created, , ,  
09:32:25 2020-02-25, JSON detected, , ,  
09:32:25 2020-02-25, xlsx file was created with 4 sheets , , ,  
09:32:25 2020-02-25, server connected, , ,  
09:32:28 2020-02-25, Invoice no. 2020-1005 was created, , invoice2020-1005.pdf, sx16618634 
09:32:28 2020-02-25, Email with invoice no. 2020-1005 sent, , , sx16618634 
09:32:28 2020-02-25, Invoice no. 2020-1006 was created, , invoice2020-1006.pdf, sx964563 
09:32:28 2020-02-25, Email with invoice no. 2020-1006 sent, , , sx964563 
09:32:29 2020-02-25, Invoice no. 2020-1007 was created, , invoice2020-1007.pdf, sx315888 
09:32:29 2020-02-25, Email with invoice no. 2020-1007 sent, , , sx315888 
09:32:29 2020-02-25, Invoice no. 2020-1008 was created, , invoice2020-1008.pdf, sx439996 
09:32:29 2020-02-25, Email with invoice no. 2020-1008 sent, , , sx439996 
